Date,Close
12-Nov-01,65.79
9-Nov-01,65.21
8-Nov-01,64.42
7-Nov-01,64.25
6-Nov-01,64.78
5-Nov-01,63.27
2-Nov-01,61.4
1-Nov-01,61.84
31-Oct-01,58.15
30-Oct-01,58.88
29-Oct-01,59.64
26-Oct-01,62.2
25-Oct-01,62.56
24-Oct-01,61.32
23-Oct-01,60.43
22-Oct-01,60.16
19-Oct-01,57.9
18-Oct-01,56.76
17-Oct-01,56.03
16-Oct-01,58.45
15-Oct-01,58.06
12-Oct-01,56.38
11-Oct-01,56.32
10-Oct-01,55.51
9-Oct-01,54.56
8-Oct-01,58.04
5-Oct-01,57.72
4-Oct-01,56.64
3-Oct-01,56.23
2-Oct-01,53.05
1-Oct-01,51.79
28-Sep-01,51.17
27-Sep-01,49.96
26-Sep-01,50.27
25-Sep-01,51.3
24-Sep-01,52.01
21-Sep-01,49.71
20-Sep-01,50.76
19-Sep-01,53.87
18-Sep-01,54.32
17-Sep-01,52.91
10-Sep-01,57.58
7-Sep-01,55.4
6-Sep-01,56.02
5-Sep-01,57.74
4-Sep-01,56.1
31-Aug-01,57.05
30-Aug-01,56.94
29-Aug-01,60.25
28-Aug-01,60.74
27-Aug-01,62.31
24-Aug-01,62.05
23-Aug-01,59.12
22-Aug-01,60.66
21-Aug-01,60.78
20-Aug-01,62.7
17-Aug-01,61.88
16-Aug-01,64.62
15-Aug-01,63.2
14-Aug-01,64.69
13-Aug-01,65.83
